musteri_id,yas,cinsiyet,sehir,egitim_duzeyi,urun_kategorisi,siparis_tutari_tl,siparis_adedi,memnuniyet_puani,iade_durumu
O0328,49,Kadın,İstanbul,Yüksek Lisans,Elektronik,3014.92,8,2,Hayır
O0329,52,Erkek,Ankara,Yüksek Lisans,Elektronik,1738.56,4,5,Hayır
O0330,43,Erkek,İstanbul,Lisans,Ev & Yaşam,598.91,5,4,Hayır
O0331,33,Erkek,İstanbul,Lisans,Elektronik,1237.84,2,4,Hayır
O0332,22,Kadın,İstanbul,Yüksek Lisans,Spor,603.45,6,5,Hayır
O0333,22,Erkek,Antalya,Ön Lisans,Kitap,82.18,3,4,Hayır
O0334,38,Erkek,İstanbul,Lise,Spor,127.02,2,5,Hayır
O0335,37,Erkek,İstanbul,Lise,Elektronik,2150.52,7,2,Hayır
O0336,48,Erkek,İstanbul,Yüksek Lisans,Spor,294.7,6,4,Hayır
O0337,39,Kadın,İzmir,Ön Lisans,Giyim,550.41,2,5,Hayır
O0338,18,Kadın,İstanbul,Yüksek Lisans,Ev & Yaşam,1113.04,4,3,Hayır
O0339,44,Erkek,Bursa,Ön Lisans,Elektronik,482.17,5,4,Hayır
O0340,20,Erkek,Bursa,Ön Lisans,Giyim,1437.29,5,3,Hayır
O0341,27,Kadın,Antalya,Lisans,Ev & Yaşam,290.05,2,5,Hayır
O0342,35,Erkek,Ankara,Lisans,Ev & Yaşam,1120.07,4,1,Hayır
O0343,55,Erkek,İstanbul,Lise,Ev & Yaşam,1016.15,4,4,Hayır
O0344,65,Erkek,İzmir,Yüksek Lisans,Spor,367.98,5,3,Hayır
O0345,39,Erkek,Antalya,Yüksek Lisans,Elektronik,2116.15,4,4,Evet
O0346,29,Kadın,İstanbul,Lisans,Giyim,92.75,2,3,Hayır
O0347,38,Kadın,Antalya,Lisans,Giyim,122.25,4,3,Hayır
O0348,42,Erkek,İzmir,Lisans,Giyim,556.06,4,4,Hayır
O0349,28,Erkek,Bursa,Lise,Elektronik,508.64,1,5,Hayır
O0350,53,Kadın,Bursa,Ön Lisans,Spor,897.94,4,3,Hayır
O0351,34,Kadın,Antalya,Lise,Ev & Yaşam,185.05,5,2,Hayır
O0352,37,Kadın,Ankara,Lisans,Elektronik,1198.1,2,5,Evet
O0353,39,Kadın,İstanbul,Lisans,Elektronik,1939.38,5,4,Hayır
O0354,37,Erkek,İzmir,Yüksek Lisans,Elektronik,816.58,4,5,Evet
O0355,42,Erkek,İstanbul,Lisans,Elektronik,3958.96,6,2,Hayır
O0356,24,Kadın,İstanbul,Lise,Ev & Yaşam,132.3,1,4,Hayır
O0357,25,Erkek,Antalya,Lise,Elektronik,883.77,2,3,Evet
O0358,18,Kadın,İstanbul,Lisans,Kitap,17.71,1,3,Hayır
O0359,37,Kadın,Bursa,Lisans,Elektronik,1145.41,4,4,Hayır
O0360,41,Kadın,Antalya,Lisans,Spor,443.44,3,4,Hayır
O0361,37,Erkek,Ankara,Lise,Elektronik,1264.71,2,5,Hayır
O0362,52,Kadın,İstanbul,Ön Lisans,Spor,301.93,3,3,Hayır
O0363,31,Erkek,Bursa,Lisans,Giyim,547.02,2,4,Hayır
O0364,40,Kadın,İstanbul,Lisans,Kitap,24.33,1,4,Hayır
O0365,18,Kadın,İstanbul,Yüksek Lisans,Elektronik,184.17,1,5,Hayır
O0366,27,Erkek,Bursa,Ön Lisans,Elektronik,1044.95,7,3,Hayır
O0367,40,Kadın,İstanbul,Yüksek Lisans,Giyim,1542.36,7,3,Hayır
O0368,42,Kadın,İstanbul,Lise,Giyim,496.48,4,3,Hayır
O0369,28,Erkek,İzmir,Ön Lisans,Giyim,142.33,1,4,Hayır
O0370,31,Erkek,İzmir,Ön Lisans,Spor,145.16,3,3,Hayır
O0371,18,Erkek,İstanbul,Lise,Elektronik,113.16,1,5,Hayır
O0372,27,Erkek,İstanbul,Ön Lisans,Giyim,504.29,2,3,Hayır
O0373,42,Erkek,Bursa,Lise,Kitap,38.14,1,5,Hayır
O0374,38,Kadın,İstanbul,Lisans,Elektronik,2355.39,3,2,Hayır
O0375,38,Erkek,Antalya,Ön Lisans,Spor,758.12,4,4,Hayır
O0376,32,Erkek,İstanbul,Lise,Kitap,119.95,2,5,Hayır
O0377,32,Kadın,Ankara,Lisans,Kitap,74.65,2,3,Hayır
O0378,24,Erkek,Ankara,Lisans,Kitap,73.83,3,5,Hayır
O0379,40,Kadın,Antalya,Lisans,Ev & Yaşam,270.88,2,4,Hayır
O0380,37,Erkek,İstanbul,Lisans,Kitap,174.72,4,5,Hayır
O0381,37,Erkek,İstanbul,Ön Lisans,Spor,626.39,3,4,Hayır
O0382,25,Kadın,Ankara,Lisans,Elektronik,833.92,7,3,Evet
O0383,18,Kadın,Antalya,Lise,Spor,860.64,3,3,Evet
O0384,45,Kadın,Antalya,Lisans,Elektronik,879.53,2,3,Hayır
O0385,26,Kadın,Ankara,Yüksek Lisans,Giyim,687.67,5,2,Hayır
O0386,21,Kadın,İstanbul,Lisans,Kitap,84.6,2,2,Hayır
O0387,40,Erkek,Ankara,Yüksek Lisans,Giyim,56.97,1,2,Hayır
O0388,27,Erkek,İstanbul,Ön Lisans,Giyim,1042.41,4,4,Hayır
O0389,44,Kadın,Antalya,Lise,Spor,873.91,3,5,Hayır
O0390,39,Kadın,İstanbul,Lisans,Elektronik,728.09,4,2,Hayır
O0391,40,Kadın,Ankara,Ön Lisans,Giyim,158.85,3,2,Hayır
O0392,18,Erkek,İzmir,Ön Lisans,Ev & Yaşam,359.99,5,4,Hayır
O0393,46,Erkek,Ankara,Ön Lisans,Elektronik,1312.11,3,3,Hayır
O0394,35,Kadın,İstanbul,Lisans,Giyim,149.3,3,2,Hayır
O0395,27,Erkek,Ankara,Lisans,Kitap,47.51,1,3,Evet
O0396,33,Kadın,İstanbul,Lise,Spor,649.26,3,5,Hayır
O0397,18,Kadın,İstanbul,Lisans,Spor,1060.75,4,5,Hayır
O0398,36,Erkek,İzmir,Ön Lisans,Giyim,379.32,2,3,Hayır
O0399,19,Kadın,Antalya,Lisans,Ev & Yaşam,347.36,3,4,Hayır
O0400,18,Kadın,Antalya,Yüksek Lisans,Elektronik,1042.26,2,4,Hayır
O0401,18,Erkek,İstanbul,Ön Lisans,Kitap,167.52,3,4,Hayır
O0402,45,Kadın,Antalya,Ön Lisans,Giyim,566.99,2,4,Hayır
O0403,24,Kadın,İstanbul,Ön Lisans,Elektronik,107.58,1,4,Hayır
O0404,50,Kadın,Bursa,Yüksek Lisans,Giyim,518.1,2,3,Hayır
O0405,25,Erkek,İstanbul,Yüksek Lisans,Spor,550.54,3,1,Hayır
O0406,18,Kadın,İzmir,Lisans,Giyim,457.76,5,4,Hayır
O0407,18,Erkek,Ankara,Lise,Elektronik,2359.93,3,5,Hayır
O0408,46,Erkek,İstanbul,Lise,Ev & Yaşam,1454.65,6,4,Hayır
O0409,30,Kadın,İstanbul,Lisans,Ev & Yaşam,102.81,2,5,Evet
O0410,25,Erkek,İstanbul,Lise,Giyim,573.9,6,5,Hayır
O0411,33,Erkek,Bursa,Ön Lisans,Ev & Yaşam,505.01,6,3,Hayır
O0412,38,Kadın,İstanbul,Ön Lisans,Elektronik,1677.0,8,4,Hayır
O0413,45,Kadın,Bursa,Lisans,Elektronik,132.71,1,4,Hayır
O0414,49,Kadın,İstanbul,Ön Lisans,Ev & Yaşam,880.24,5,5,Hayır
O0415,27,Kadın,Bursa,Lisans,Ev & Yaşam,385.87,3,5,Hayır
O0416,18,Erkek,İstanbul,Lise,Spor,1787.61,6,4,Evet
O0417,27,Erkek,İstanbul,Ön Lisans,Elektronik,1550.06,5,3,Hayır
O0418,35,Erkek,İzmir,Ön Lisans,Kitap,15.99,1,5,Hayır
O0419,20,Kadın,Ankara,Lisans,Ev & Yaşam,131.15,1,2,Hayır
O0420,20,Kadın,Antalya,Lise,Ev & Yaşam,146.87,2,5,Hayır
O0421,36,Kadın,İzmir,Lisans,Spor,325.2,5,5,Hayır
O0422,31,Kadın,İstanbul,Lisans,Giyim,1067.8,6,3,Hayır
O0423,32,Erkek,İzmir,Ön Lisans,Spor,532.26,3,4,Hayır
O0424,22,Kadın,Ankara,Ön Lisans,Ev & Yaşam,909.01,5,4,Hayır
O0425,29,Erkek,İstanbul,Lise,Elektronik,1815.39,3,4,Hayır
O0426,20,Kadın,Antalya,Lise,Giyim,518.6,3,3,Evet
O0427,42,Erkek,İstanbul,Ön Lisans,Kitap,70.18,2,5,Hayır
O0428,44,Kadın,Bursa,Lise,Kitap,42.82,1,5,Evet
O0429,18,Erkek,Bursa,Lisans,Spor,1712.03,8,5,Hayır
O0430,20,Erkek,İstanbul,Lise,Giyim,469.98,2,3,Evet
O0431,18,Erkek,Antalya,Lisans,Kitap,233.29,4,5,Hayır
O0432,24,Kadın,Ankara,Lisans,Kitap,406.26,7,4,Hayır
O0433,30,Kadın,İzmir,Lisans,Kitap,339.36,5,3,Evet
O0434,18,Erkek,Bursa,Yüksek Lisans,Spor,592.81,3,2,Hayır
O0435,20,Erkek,İstanbul,Ön Lisans,Spor,232.32,2,3,Evet
O0436,19,Kadın,İstanbul,Ön Lisans,Elektronik,1256.39,3,5,Hayır
O0437,34,Erkek,Antalya,Lisans,Ev & Yaşam,1427.17,5,4,Hayır
O0438,32,Kadın,İzmir,Yüksek Lisans,Elektronik,1787.35,3,4,Hayır
O0439,23,Kadın,Antalya,Ön Lisans,Kitap,38.24,3,3,Hayır
O0440,34,Erkek,Bursa,Yüksek Lisans,Giyim,1233.93,5,4,Hayır
O0441,25,Erkek,İstanbul,Lise,Giyim,251.14,1,1,Hayır
O0442,28,Kadın,Bursa,Ön Lisans,Ev & Yaşam,131.68,3,3,Hayır
O0443,52,Erkek,Ankara,Yüksek Lisans,Elektronik,387.7,2,4,Hayır
O0444,48,Erkek,Ankara,Lisans,Spor,196.12,1,2,Hayır
O0445,18,Kadın,İstanbul,Lise,Elektronik,1222.2,2,5,Hayır
O0446,41,Kadın,Antalya,Ön Lisans,Kitap,46.87,1,3,Hayır
O0447,41,Kadın,Antalya,Yüksek Lisans,Ev & Yaşam,287.03,3,4,Hayır
O0448,18,Kadın,İzmir,Lise,Giyim,1299.12,4,4,Hayır
O0449,41,Erkek,İzmir,Lise,Ev & Yaşam,264.51,2,4,Hayır
O0450,50,Erkek,Bursa,Yüksek Lisans,Ev & Yaşam,2111.02,8,2,Hayır
O0451,18,Kadın,Bursa,Lisans,Giyim,333.6,5,1,Hayır
O0452,20,Kadın,Ankara,Lisans,Giyim,1139.2,5,5,Evet
O0453,44,Erkek,İstanbul,Lise,Kitap,91.69,3,3,Hayır
O0454,35,Kadın,İzmir,Lisans,Spor,57.4,1,5,Hayır
O0455,38,Erkek,İstanbul,Ön Lisans,Elektronik,1542.41,3,5,Hayır
O0456,36,Kadın,İstanbul,Lise,Elektronik,1839.75,4,3,Hayır
O0457,36,Erkek,Bursa,Yüksek Lisans,Spor,1046.17,6,3,Hayır
O0458,18,Erkek,Antalya,Yüksek Lisans,Ev & Yaşam,1148.06,4,4,Hayır
O0459,44,Erkek,İstanbul,Ön Lisans,Spor,308.4,3,5,Hayır
O0460,46,Erkek,Ankara,Yüksek Lisans,Elektronik,439.02,2,5,Hayır
O0461,29,Erkek,Antalya,Lisans,Giyim,39.98,2,4,Evet
O0462,31,Kadın,Bursa,Yüksek Lisans,Ev & Yaşam,523.36,2,5,Evet
O0463,18,Kadın,İstanbul,Ön Lisans,Elektronik,2742.19,4,2,Hayır
O0464,38,Kadın,İstanbul,Yüksek Lisans,Ev & Yaşam,85.12,1,5,Hayır
O0465,38,Kadın,İstanbul,Lise,Kitap,90.41,5,5,Hayır
O0466,31,Erkek,İstanbul,Ön Lisans,Kitap,506.29,6,3,Hayır
O0467,45,Erkek,Ankara,Lise,Giyim,1569.88,6,3,Hayır
O0468,27,Kadın,İstanbul,Lisans,Ev & Yaşam,745.31,3,2,Hayır
O0469,38,Erkek,Bursa,Lise,Ev & Yaşam,355.39,6,3,Hayır
O0470,19,Kadın,İstanbul,Yüksek Lisans,Giyim,857.71,5,5,Hayır
O0471,31,Erkek,Ankara,Lisans,Giyim,513.64,4,3,Hayır
O0472,29,Kadın,İzmir,Yüksek Lisans,Elektronik,1110.43,2,2,Evet
O0473,34,Erkek,Ankara,Lise,Ev & Yaşam,488.2,2,3,Evet
O0474,27,Kadın,İstanbul,Lisans,Kitap,71.12,2,5,Hayır
O0475,30,Kadın,Antalya,Lisans,Ev & Yaşam,745.16,5,4,Hayır
O0476,41,Kadın,İstanbul,Yüksek Lisans,Elektronik,1933.45,3,4,Evet
O0477,26,Erkek,Bursa,Lise,Ev & Yaşam,634.72,2,3,Hayır
O0478,18,Kadın,Antalya,Yüksek Lisans,Ev & Yaşam,1580.29,6,5,Hayır
O0479,52,Kadın,İstanbul,Yüksek Lisans,Elektronik,4051.27,7,5,Hayır
O0480,48,Kadın,Bursa,Lisans,Elektronik,609.69,2,3,Hayır
O0481,18,Kadın,İstanbul,Lise,Giyim,689.64,5,2,Hayır
O0482,40,Kadın,Ankara,Ön Lisans,Elektronik,1337.99,2,2,Evet
O0483,25,Erkek,Antalya,Lisans,Kitap,57.55,4,2,Evet
O0484,35,Kadın,Antalya,Ön Lisans,Kitap,18.23,2,4,Hayır
O0485,35,Kadın,Ankara,Lisans,Giyim,160.54,2,5,Hayır
O0486,29,Kadın,İstanbul,Lisans,Giyim,791.25,5,4,Evet
O0487,22,Erkek,Ankara,Lisans,Spor,881.44,4,5,Hayır
O0488,23,Erkek,İstanbul,Yüksek Lisans,Kitap,63.07,2,4,Evet
O0489,21,Kadın,İstanbul,Lisans,Ev & Yaşam,194.31,1,4,Hayır
O0490,22,Kadın,Ankara,Lisans,Spor,26.38,1,4,Hayır
O0491,31,Erkek,Ankara,Ön Lisans,Elektronik,981.92,3,3,Hayır
O0492,23,Kadın,Ankara,Lisans,Giyim,100.83,1,3,Hayır
O0493,40,Erkek,İstanbul,Ön Lisans,Spor,282.53,1,4,Hayır
O0494,49,Erkek,Bursa,Ön Lisans,Giyim,781.42,5,2,Hayır
O0495,25,Erkek,İstanbul,Lisans,Elektronik,6953.39,8,3,Hayır
O0496,34,Erkek,Antalya,Yüksek Lisans,Spor,270.79,3,4,Hayır
O0497,37,Kadın,İzmir,Lisans,Elektronik,499.56,3,5,Hayır
O0498,37,Erkek,Antalya,Lisans,Giyim,402.71,2,4,Evet
O0499,32,Kadın,İzmir,Lisans,Giyim,703.99,3,5,Evet
O0500,40,Kadın,İstanbul,Lise,Ev & Yaşam,190.55,1,4,Hayır
